Date,signal,Settle,MA,Upper Band,Lower Band,Short Position Stop,Long Position Stop
2017-06-26,0.0,97.116,97.04435000000015,97.52757759645361,96.56112240354669,104.24807999999999,96.03804000000001
2017-06-27,1.0,96.093,96.98840000000015,97.61798665803398,96.35881334196633,104.24807999999999,94.17114000000001
2017-06-28,0.0,95.744,96.93290000000015,97.76365385041208,96.10214614958821,104.24807999999999,94.17114000000001
2017-06-29,0.0,95.366,96.84415000000014,97.91233524141396,95.77596475858633,104.24807999999999,94.17114000000001
2017-06-30,0.0,95.421,96.78170000000014,98.01637616805974,95.54702383194055,104.24807999999999,94.17114000000001
2017-07-03,0.0,95.969,96.74245000000015,98.02705335900804,95.45784664099226,104.24807999999999,94.17114000000001
2017-07-04,0.0,95.969,96.71135000000015,98.03852538779725,95.38417461220305,104.24807999999999,94.17114000000001
2017-07-05,0.0,96.059,96.67890000000014,98.03621070870851,95.32158929129177,104.24807999999999,94.17114000000001
2017-07-06,0.0,95.575,96.61275000000015,98.04763924658835,95.17786075341195,104.24807999999999,94.17114000000001
2017-07-07,0.0,95.792,96.54040000000015,97.98755491913441,95.09324508086588,104.24807999999999,94.17114000000001
2017-07-10,0.0,95.777,96.47320000000015,97.93105137787602,95.01534862212428,104.24807999999999,94.17114000000001
2017-07-11,0.0,95.422,96.39720000000014,97.90692720713876,94.88747279286152,104.24807999999999,94.17114000000001
2017-07-12,0.0,95.512,96.32675000000015,97.86339112595464,94.79010887404566,104.24807999999999,94.17114000000001
2017-07-13,0.0,95.508,96.23030000000014,97.71744318072443,94.74315681927585,104.24807999999999,94.17114000000001
2017-07-14,0.0,94.93,96.11950000000016,97.64689745972531,94.59210254027501,104.24807999999999,94.17114000000001
2017-07-17,0.0,94.904,96.00150000000016,97.52161808751012,94.4813819124902,104.24807999999999,94.17114000000001
2017-07-18,0.0,94.402,95.85100000000016,97.37872248788042,94.32327751211989,104.24807999999999,94.17114000000001
2017-07-19,0.0,94.588,95.71960000000016,97.20663092098842,94.2325690790119,104.24807999999999,94.17114000000001
2017-07-20,-1.0,94.117,95.56030000000017,97.01700492549996,94.10359507450038,104.24807999999999,94.17114000000001
2017-07-21,0.0,93.679,95.39715000000017,96.92736453070346,93.86693546929688,104.24807999999999,94.17114000000001
2017-07-24,0.0,93.798,95.23125000000017,96.69823069175301,93.76426930824734,104.24807999999999,94.17114000000001
2017-07-25,0.0,93.888,95.12100000000017,96.64276003363744,93.59923996636289,104.24807999999999,94.17114000000001
2017-07-26,0.0,93.505,95.00905000000017,96.65534517097524,93.3627548290251,104.24807999999999,94.17114000000001
2017-07-27,0.0,93.715,94.92650000000017,96.65637288549665,93.1966271145037,104.24807999999999,94.17114000000001
2017-07-28,0.0,93.114,94.81115000000017,96.6945944271007,92.92770557289964,104.24807999999999,94.17114000000001
2017-07-31,0.0,92.718,94.64860000000017,96.66101272108304,92.6361872789173,104.24807999999999,94.17114000000001
2017-08-01,0.0,92.901,94.49520000000017,96.5489304204732,92.44146957952714,104.24807999999999,94.17114000000001
2017-08-02,0.0,92.699,94.32720000000018,96.39143967600111,92.26296032399924,104.24807999999999,94.17114000000001
2017-08-03,0.0,92.707,94.18380000000016,96.27961483914426,92.08798516085606,104.24807999999999,94.17114000000001
2017-08-04,0.0,93.416,94.06500000000017,96.04909374777941,92.08090625222093,104.24807999999999,94.17114000000001
2017-08-07,0.0,93.309,93.94160000000016,95.78654882313234,92.096651176868,104.24807999999999,94.17114000000001
2017-08-08,0.0,93.515,93.84625000000017,95.56832733565524,92.1241726643451,104.24807999999999,94.17114000000001
2017-08-09,0.0,93.43,93.74215000000018,95.29196008835842,92.19233991164194,104.24807999999999,94.17114000000001
2017-08-10,0.0,93.304,93.63195000000017,94.96164356995419,92.30225643004616,104.24807999999999,94.17114000000001
2017-08-11,0.0,92.956,93.53325000000017,94.75124554595965,92.31525445404068,104.24807999999999,94.17114000000001
