Date,Index
19970925,2663.15
19970926,2731.86
19970929,2600.73
19970930,2716.21
19971001,2787.37
19971002,2887.72
19971003,3091.59
19971006,2928.66
19971007,2758.80
19971008,2620.58
19971009,2459.94
19971010,2471.75
19971013,2385.49
19971014,2219.93
19971015,2268.55
19971016,2399.45
19971017,2337.54
19971020,2329.83
19971021,2382.25
19971022,2528.99
19971023,2419.99
19971024,2746.69
19971027,3068.33
19971028,2902.03
19971029,2819.61
19971030,2903.07
19971031,3077.84
19971103,2962.72
19971104,2865.84
19971105,2798.78
19971106,2923.61
19971107,3031.20
19971110,3015.74
19971111,3079.07
19971112,3300.76
19971113,3249.60
19971114,3238.55
19971117,3171.51
19971118,3099.20
19971119,3208.29
19971120,3210.54
19971121,3226.91
19971124,3186.58
19971125,3178.93
19971126,3251.73
19971127,3252.70
19971128,3335.32
19971201,3619.16
19971202,3620.60
19971203,3738.27
19971204,3922.20
19971205,3910.04
19971208,3893.23
19971209,4150.96
19971210,4053.41
19971211,4187.58
19971212,4302.74
19971215,4538.53
19971216,4577.56
19971217,3651.52
19971218,3939.99
19971219,4052.28
19971222,4135.35
19971223,4174.22
19971224,4124.55
19971225,4124.55
19971226,4142.70
19971229,4558.21
19971230,4477.53
19971231,4493.65
19980101,4493.65
19980102,4525.10
19980105,5000.24
19980106,5173.25
19980107,4848.88
19980108,5231.46
19980109,5467.40
19980112,5862.69
19980113,5233.62
19980114,5051.49
19980115,5205.57
19980116,4857.83
19980119,4847.63
19980120,5058.02
19980121,4997.32
19980122,5135.75
19980123,5262.60
19980126,5050.52
19980127,5081.33
19980128,4573.19
19980129,4564.51
19980130,4521.14
19980202,4362.45
19980203,4468.02
19980204,4383.58
19980205,4529.11
19980206,4667.70
19980209,4601.42
19980210,4441.75
19980211,4323.16
19980212,4321.86
19980213,4420.83
19980216,4420.83
19980217,4709.07
19980218,4919.09
19980219,4894.01
19980220,5205.75
19980223,5732.06
19980224,5814.60
19980225,5409.32
19980226,5324.39
19980227,5001.20
19980302,4550.59
19980303,4588.82
19980304,4509.89
19980305,4546.87
19980306,4668.27
19980309,4876.01
19980310,4938.43
19980311,4941.88
19980312,5225.05
19980313,5129.43
19980316,5269.47
19980317,5216.25
19980318,4822.42
19980319,4743.33
19980320,4705.38
19980323,4256.49
19980324,4107.51
19980325,3975.66
19980326,4166.49
19980327,3718.60
19980330,3628.23
19980331,3799.12
19980401,3882.70
19980402,3842.71
19980403,4062.90
19980406,4251.83
19980407,4404.47
19980408,4281.14
19980409,4180.11
19980410,4180.11
19980413,4287.12
19980414,4111.77
19980415,4320.65
19980416,4233.37
19980417,4310.42
19980420,4229.39
19980421,4211.62
19980422,4292.49
19980423,4583.52
19980424,4457.93
19980427,4614.40
19980428,4431.67
19980429,4680.73
19980430,4422.35
19980501,4451.54
19980504,4440.41
19980505,4221.06
19980506,4118.91
19980507,4240.41
19980508,4345.58
19980511,4423.80
19980512,4207.47
19980513,4212.10
19980514,4059.20
19980515,4238.62
19980518,4509.47
19980519,4466.63
19980520,4408.56
19980521,4308.49
19980522,4243.43
19980525,4243.43
19980526,4684.75
19980527,4928.82
19980528,5200.89
19980529,5038.62
19980601,5590.35
19980602,5068.21
19980603,5072.27
19980604,4985.03
19980605,5201.87
19980608,5653.40
19980609,5594.04
19980610,6105.89
19980611,6784.87
19980612,6840.50
19980615,7580.64
19980616,7003.76
19980617,5955.99
19980618,6508.12
19980619,6484.04
19980622,6464.58
19980623,6318.48
19980624,6449.28
19980625,6261.60
19980626,5883.40
19980629,6103.44
19980630,6046.68
19980701,5848.35
19980702,5962.98
19980703,5959.99
19980706,6138.20
19980707,5983.51
19980708,5806.40
19980709,6047.95
19980710,5927.59
19980713,5827.42
19980714,5770.89
19980715,6031.74
19980716,6284.47
19980717,5997.90
19980720,5989.50
19980721,6096.11
19980722,6353.37
19980723,6263.15
19980724,6426.62
19980727,6661.19
