,Date,Date2,Settle,Open,High,Low,Change %,MA,STD,Upper Band,Lower Band,Short Position Stop,Long Position Stop,Short Position Stop Clone,Long Position Stop Clone
100,21/05/2013,"May 21, 2013",1.2906,1.2883,1.2934,1.2841,0.18%,1.3015950000000003,0.010071369072770932,1.3217377381455422,1.2814522618544584,,1.2790799999999998,0.0,1.2790799999999998
101,22/05/2013,"May 22, 2013",1.2858,1.2906,1.3,1.2833,-0.37%,1.3008050000000004,0.010643424026128322,1.322091848052257,1.2795181519477439,,1.2790799999999998,0.0,1.2790799999999998
102,23/05/2013,"May 23, 2013",1.2936,1.2857,1.2956,1.2821,0.61%,1.3004200000000004,0.010757211534592278,1.321934423069185,1.2789055769308157,,1.2790799999999998,0.0,1.2790799999999998
103,24/05/2013,"May 24, 2013",1.2932,1.2938,1.2998,1.2906,-0.03%,1.2999400000000003,0.010854049935391146,1.3216480998707827,1.278231900129218,,1.2790799999999998,0.0,1.2790799999999998
104,27/05/2013,"May 27, 2013",1.2932,1.2928,1.2951,1.2917,0.00%,1.2991000000000004,0.010691866067247728,1.3204837321344958,1.277716267865505,,1.2790799999999998,0.0,1.2790799999999998
105,28/05/2013,"May 28, 2013",1.2856,1.2929,1.2951,1.2849,-0.59%,1.2975450000000002,0.010272413299705236,1.3180898265994105,1.2770001734005898,,1.2790799999999998,0.0,1.2790799999999998
106,29/05/2013,"May 29, 2013",1.2941,1.2857,1.298,1.284,0.66%,1.2963500000000001,0.009152458686055853,1.3146549173721118,1.2780450826278884,,1.2790799999999998,0.0,1.2790799999999998
107,30/05/2013,"May 30, 2013",1.305,1.294,1.3063,1.2934,0.84%,1.29628,0.009080396467113045,1.314440792934226,1.278119207065774,,1.2790799999999998,0.0,1.2790799999999998
108,31/05/2013,"May 31, 2013",1.2999,1.3053,1.3063,1.2947,-0.39%,1.2957000000000003,0.008437416666252655,1.3125748333325056,1.278825166667495,,1.2790799999999998,0.0,1.2790799999999998
109,03/06/2013,"Jun 03, 2013",1.3076,1.2983,1.3108,1.2955,0.59%,1.2957000000000003,0.008437416666252655,1.3125748333325056,1.278825166667495,,1.2790799999999998,0.0,1.2790799999999998
110,04/06/2013,"Jun 04, 2013",1.3081,1.3077,1.3104,1.3043,0.04%,1.2957100000000001,0.00845197610029501,1.3126139522005902,1.27880604779941,,1.2790799999999998,0.0,1.2790799999999998
111,05/06/2013,"Jun 05, 2013",1.3094,1.3081,1.3115,1.3053,0.10%,1.2954200000000002,0.007856818694609012,1.3111336373892182,1.2797063626107823,,1.2790799999999998,0.0,1.2790799999999998
112,06/06/2013,"Jun 06, 2013",1.3247,1.3095,1.3306,1.3075,1.17%,1.29644,0.009980601184295423,1.316401202368591,1.2764787976314091,1.337947,1.2790799999999998,1.337947,1.2790799999999998
113,07/06/2013,"Jun 07, 2013",1.3223,1.3246,1.3285,1.3191,-0.18%,1.29759,0.01145940225317013,1.3205088045063402,1.2746711954936598,1.337947,1.2790799999999998,1.337947,1.2790799999999998
114,10/06/2013,"Jun 10, 2013",1.3257,1.3207,1.327,1.3177,0.26%,1.2989950000000001,0.01299432472273809,1.3249836494454763,1.273006350554524,1.337947,1.2790799999999998,1.337947,1.2790799999999998
115,11/06/2013,"Jun 11, 2013",1.3315,1.3257,1.3318,1.3232,0.44%,1.3009700000000002,0.014674266591552841,1.3303185331831058,1.2716214668168946,1.337947,1.2790799999999998,1.337947,1.2790799999999998
116,12/06/2013,"Jun 12, 2013",1.3337,1.3314,1.3361,1.3266,0.17%,1.3032200000000003,0.016009578382954588,1.3352391567659094,1.271200843234091,1.337947,1.2790799999999998,1.337947,1.2790799999999998
117,13/06/2013,"Jun 13, 2013",1.3375,1.3336,1.3391,1.3278,0.28%,1.3056850000000002,0.017254166888029335,1.340193333776059,1.2711766662239414,1.337947,1.2790799999999998,1.337947,1.2790799999999998
118,14/06/2013,"Jun 14, 2013",1.3347,1.3375,1.3376,1.3294,-0.21%,1.3082250000000004,0.017595990310294296,1.3434169806205891,1.2730330193794117,1.337947,1.2790799999999998,1.337947,1.2790799999999998
