Date,Date2,Settle,Open,High,Low,Change %
07/06/2017,"Jun 07, 2017",1.1257,1.1277,1.1284,1.1205,-0.19%
08/06/2017,"Jun 08, 2017",1.1214,1.1257,1.127,1.1195,-0.38%
09/06/2017,"Jun 09, 2017",1.1196,1.1217,1.124,1.1168,-0.16%
12/06/2017,"Jun 12, 2017",1.1203,1.1196,1.1235,1.1193,0.06%
13/06/2017,"Jun 13, 2017",1.1216,1.1203,1.1225,1.1184,0.12%
14/06/2017,"Jun 14, 2017",1.1218,1.121,1.1296,1.1191,0.02%
15/06/2017,"Jun 15, 2017",1.1145,1.1219,1.1231,1.1132,-0.65%
16/06/2017,"Jun 16, 2017",1.1198,1.1142,1.1201,1.1138,0.48%
19/06/2017,"Jun 19, 2017",1.1148,1.1199,1.1214,1.1141,-0.45%
20/06/2017,"Jun 20, 2017",1.1135,1.1147,1.1165,1.1118,-0.12%
21/06/2017,"Jun 21, 2017",1.1168,1.1133,1.1171,1.1128,0.30%
22/06/2017,"Jun 22, 2017",1.1153,1.1167,1.1179,1.114,-0.13%
23/06/2017,"Jun 23, 2017",1.1194,1.1152,1.1211,1.1145,0.37%
26/06/2017,"Jun 26, 2017",1.1182,1.1202,1.1222,1.1173,-0.11%
27/06/2017,"Jun 27, 2017",1.1339,1.1183,1.1351,1.1178,1.40%
28/06/2017,"Jun 28, 2017",1.1378,1.1339,1.1392,1.1292,0.34%
29/06/2017,"Jun 29, 2017",1.1441,1.1376,1.1446,1.1373,0.55%
30/06/2017,"Jun 30, 2017",1.1426,1.1442,1.1448,1.1393,-0.13%
03/07/2017,"Jul 03, 2017",1.1364,1.1422,1.1431,1.1357,-0.54%
04/07/2017,"Jul 04, 2017",1.1345,1.1366,1.138,1.1339,-0.17%
05/07/2017,"Jul 05, 2017",1.1353,1.1345,1.1369,1.1312,0.07%
06/07/2017,"Jul 06, 2017",1.1423,1.1351,1.1425,1.1329,0.62%
07/07/2017,"Jul 07, 2017",1.1401,1.1423,1.144,1.1379,-0.19%
10/07/2017,"Jul 10, 2017",1.14,1.1391,1.1418,1.1381,-0.01%
11/07/2017,"Jul 11, 2017",1.1467,1.14,1.1482,1.1383,0.59%
12/07/2017,"Jul 12, 2017",1.1412,1.1467,1.1491,1.1392,-0.48%
13/07/2017,"Jul 13, 2017",1.1399,1.1413,1.1459,1.1373,-0.11%
14/07/2017,"Jul 14, 2017",1.1469,1.14,1.1473,1.1392,0.61%
17/07/2017,"Jul 17, 2017",1.1479,1.1462,1.1487,1.1434,0.09%
18/07/2017,"Jul 18, 2017",1.1555,1.148,1.1585,1.1473,0.66%
19/07/2017,"Jul 19, 2017",1.1516,1.1554,1.1559,1.1509,-0.34%
