Date,security,holdings,cash,total,returns
2014-06-27,48051.6,48051.6,101058.39999999998,149109.99999999997,-0.24371682924058236
2014-06-30,,0.0,101058.39999999998,101058.39999999998,-0.3222560525786332
2014-07-01,,0.0,101058.39999999998,101058.39999999998,0.0
2014-07-02,,0.0,101058.39999999998,101058.39999999998,0.0
2014-07-03,,0.0,101058.39999999998,101058.39999999998,0.0
2014-07-04,,0.0,101058.39999999998,101058.39999999998,0.0
2014-07-07,,0.0,101058.39999999998,101058.39999999998,0.0
2014-07-08,,0.0,101058.39999999998,101058.39999999998,0.0
2014-07-09,,0.0,101058.39999999998,101058.39999999998,0.0
2014-07-10,,0.0,101058.39999999998,101058.39999999998,0.0
2014-07-11,,0.0,101058.39999999998,101058.39999999998,0.0
2014-07-14,,0.0,101058.39999999998,101058.39999999998,0.0
2014-07-15,-48267.6,-48267.6,197593.59999999998,149325.99999999997,0.4776208608091954
2014-07-16,24187.5,24187.5,125031.09999999998,149218.59999999998,-0.0007192317479876031
2014-07-17,,0.0,125031.09999999998,125031.09999999998,-0.1620944037807619
2014-07-18,,0.0,125031.09999999998,125031.09999999998,0.0
2014-07-21,,0.0,125031.09999999998,125031.09999999998,0.0
2014-07-22,,0.0,125031.09999999998,125031.09999999998,0.0
2014-07-23,,0.0,125031.09999999998,125031.09999999998,0.0
2014-07-24,,0.0,125031.09999999998,125031.09999999998,0.0
2014-07-25,,0.0,125031.09999999998,125031.09999999998,0.0
2014-07-28,,0.0,125031.09999999998,125031.09999999998,0.0
2014-07-29,,0.0,125031.09999999998,125031.09999999998,0.0
2014-07-30,,0.0,125031.09999999998,125031.09999999998,0.0
2014-07-31,,0.0,125031.09999999998,125031.09999999998,0.0
2014-08-01,,0.0,125031.09999999998,125031.09999999998,0.0
2014-08-04,,0.0,125031.09999999998,125031.09999999998,0.0
2014-08-05,,0.0,125031.09999999998,125031.09999999998,0.0
2014-08-06,,0.0,125031.09999999998,125031.09999999998,0.0
2014-08-07,,0.0,125031.09999999998,125031.09999999998,0.0
2014-08-08,,0.0,125031.09999999998,125031.09999999998,0.0
2014-08-11,,0.0,125031.09999999998,125031.09999999998,0.0
2014-08-12,,0.0,125031.09999999998,125031.09999999998,0.0
2014-08-13,,0.0,125031.09999999998,125031.09999999998,0.0
2014-08-14,,0.0,125031.09999999998,125031.09999999998,0.0
2014-08-15,,0.0,125031.09999999998,125031.09999999998,0.0
2014-08-18,,0.0,125031.09999999998,125031.09999999998,0.0
2014-08-19,,0.0,125031.09999999998,125031.09999999998,0.0
2014-08-20,,0.0,125031.09999999998,125031.09999999998,0.0
2014-08-21,,0.0,125031.09999999998,125031.09999999998,0.0
2014-08-22,,0.0,125031.09999999998,125031.09999999998,0.0
2014-08-25,,0.0,125031.09999999998,125031.09999999998,0.0
2014-08-26,,0.0,125031.09999999998,125031.09999999998,0.0
2014-08-27,,0.0,125031.09999999998,125031.09999999998,0.0
2014-08-28,,0.0,125031.09999999998,125031.09999999998,0.0
2014-08-29,,0.0,125031.09999999998,125031.09999999998,0.0
2014-09-01,,0.0,125031.09999999998,125031.09999999998,0.0
2014-09-02,,0.0,125031.09999999998,125031.09999999998,0.0
2014-09-03,,0.0,125031.09999999998,125031.09999999998,0.0
2014-09-04,,0.0,125031.09999999998,125031.09999999998,0.0
2014-09-05,,0.0,125031.09999999998,125031.09999999998,0.0
2014-09-08,,0.0,125031.09999999998,125031.09999999998,0.0
2014-09-09,,0.0,125031.09999999998,125031.09999999998,0.0
2014-09-10,,0.0,125031.09999999998,125031.09999999998,0.0
