,P&L,Settle,signal,Outcome
728,0.0036000000000000476,,,
729,0.0020000000000000018,,,
730,-0.0018000000000000238,,,
731,0.000600000000000156,,,
732,0.023199999999999887,1.1107,-2.0,
734,0.0038000000000000256,,,
735,-0.0007999999999999119,,,
736,-0.012799999999999923,,,
737,0.005599999999999827,,,
738,0.0030000000000001137,,,
739,0.0008999999999999009,,,
740,-0.0046999999999999265,,,
741,-0.010499999999999954,1.0863,-1.0,
763,0.00550000000000006,,,
764,0.0051000000000001044,,,
765,-0.005900000000000016,,,
766,-0.013100000000000112,,,
767,0.008399999999999963,,,
768,-0.0047999999999999154,,,
769,-0.00029999999999996696,,,
770,0.006399999999999961,,,
771,0.0015000000000000568,,,
772,0.008799999999999919,,,
773,-0.0042999999999999705,,,
774,-0.0046999999999999265,,,
775,-0.0040000000000000036,,,
776,0.0045999999999999375,,,
777,-0.006299999999999972,,,
778,-0.0004999999999999449,,,
779,0.0008999999999999009,,,
780,0.0051000000000001044,,,
781,-0.0015000000000000568,,,
782,0.007099999999999884,1.0861,-2.0,
786,0.0033000000000000806,,,
787,0.015499999999999847,1.0936,-1.0,
807,-0.010399999999999965,,,
808,0.0049000000000001265,,,
809,-0.0039000000000000146,,,
810,-0.009500000000000064,1.1293,-2.0,
838,0.004899999999999904,,,
839,0.0028999999999999027,,,
840,0.0024000000000001798,,,
841,0.0032999999999998586,,,
842,0.001000000000000112,,,
843,0.0007999999999999119,,,
844,-0.0029999999999998916,,,
845,-0.009500000000000064,,,
846,-0.0046999999999999265,,,
847,-0.0041999999999999815,,,
848,-0.000700000000000145,,,
849,-0.0004999999999999449,,,
850,0.0007999999999999119,,,
851,-0.0014999999999998348,,,
852,0.0021999999999999797,,,
853,-0.0023999999999999577,,,
854,-0.000700000000000145,,,
855,0.0021999999999999797,,,
856,0.011200000000000099,1.1274,-2.0,
870,0.0035000000000000586,,,
871,0.0009999999999998899,,,
872,0.008199999999999985,,,
874,0.0021999999999999797,,,
875,0.001100000000000101,,,
876,-0.00550000000000006,,,
877,0.0050000000000001155,,,
878,0.006899999999999906,1.1308,-2.0,
910,0.0040000000000000036,,,
911,0.005900000000000016,,,
912,-0.0020000000000000018,,,
913,0.0030999999999998806,,,
914,0.0020000000000000018,,,
915,-0.008000000000000007,,,
916,0.0023000000000001908,,,
917,-0.0036000000000000476,,,
918,-0.0008000000000001339,,,
919,0.00029999999999996696,,,
920,0.00010000000000021103,,,
921,0.0030999999999998806,,,
922,0.0030000000000001137,,,
923,-0.008400000000000185,,,
924,0.0038000000000000256,,,
925,-0.005199999999999871,,,
926,-0.000700000000000145,,,
927,0.001000000000000112,,,
928,-0.0049000000000001265,,,
929,0.0018000000000000238,,,
930,-0.0006999999999999229,,,
931,0.007099999999999884,,,
932,0.0018000000000000238,1.1076,-1.0,
934,0.0011999999999998678,,,
935,-0.00649999999999995,,,
936,0.007800000000000029,,,
937,0.0019000000000000128,,,
938,0.0044999999999999485,,,
939,-0.0007999999999999119,,,
940,-0.0026000000000001577,,,
941,-0.005799999999999805,,,
942,0.0040000000000000036,,,
943,-0.0024000000000001798,,,
944,-0.0022999999999999687,,,
945,-0.009399999999999853,,,
946,-0.001000000000000112,1.1288,-2.0,
986,-0.0045999999999999375,,,
987,0.004899999999999904,,,
988,-0.008599999999999941,,,
