Date,ROR,Index,Leverage,,Settle,1.1
20130930,0.0335,776977.83,0.7,,741869.17,
20131001,-0.0025,775033.12,0.7,,738954.68,
20131002,0.0177,788766.53,0.7,,759508.18,
20131003,-0.015,776955.96,0.7,,741605.48,
20131004,-0.0266,756275.71,0.7,,710606.37,
20131007,-0.0002,756109.74,0.7,,710383.04,
20131008,-0.004,753121.95,0.7,,705917.78,
20131009,-0.0163,740846.21,0.7,,687836.2,
20131010,-0.0211,725177.49,0.7,,665029.51,
20131011,0.0101,732473.59,0.7,,675584.48,
20131014,0.0095,739434.58,0.7,,685669.99,
20131015,-0.0132,729684.63,0.7,,671447.24,
20131016,-0.0292,708387.41,0.7,,640637.4,
20131017,0.0013,709301.69,0.7,,641946.13,
20131018,0.0101,716486.23,0.7,,652134.74,
20131021,-0.0077,710997.68,0.7,,644243.9,
20131022,0.0491,745935.98,0.7,,693951.92,
20131023,0.0019,747331.91,0.7,,696023.87,
20131024,0.006,751849.53,0.7,,702586.38,
20131025,-0.0064,747047.82,0.7,,695520.37,
20131028,0.0013,748040.42,0.7,,696941.21,
20131029,-0.0178,734704.45,0.7,,677446.77,
20131030,0.0112,742915.61,0.7,,689369.84,
20131031,0.0133,752827.07,0.7,,703777.67,
20131101,0.0272,773278.68,0.7,,733859.13,
20131104,0.0285,795342.57,0.7,,766725.54,
20131105,0.0245,814854.46,0.7,,796244.47,
20131106,-0.0263,793389.33,0.7,,763336.83,
20131107,-0.0757,733364.02,0.7,,672532.46,
20131108,-0.0022,731739.56,0.7,,670207.42,
20131111,-0.0084,725593.79,0.7,,661360.68,
20131112,-0.0116,717200.28,0.7,,649305.02,
20131113,0.0362,743197.49,0.7,,686241.2,
20131114,0.0012,744100.3,0.7,,687535.25,
20131115,-0.0512,706034.27,0.7,,632218.13,
20131118,0.0106,713531.34,0.7,,642749.08,
20131119,0.001,714269.53,0.7,,643759.11,
20131120,-0.0257,695910.97,0.7,,617760.44,
20131121,-0.0272,676966.39,0.7,,591355.6,
20131122,-0.0148,666949.43,0.7,,577602.35,
20131125,-0.0203,653418.45,0.7,,559176.84,
20131126,-0.0124,645326.8,0.7,,548280.88,
20131127,0.0633,686156.42,0.7,,602819.16,
20131128,0,686156.42,0.7,,602819.16,
20131129,0.0134,695374.47,0.7,,615512.81,
20131202,0.0144,705359.61,0.7,,629440.99,
20131203,-0.0123,696705.76,0.7,,617274.79,
