Date,security,holdings,cash,total,returns
2015-05-19,-57217.8,-57217.8,185618.49999999994,128400.69999999994,0.8038138373120522
2015-05-20,,0.0,185618.49999999994,185618.49999999994,0.44561906593967193
2015-05-21,,0.0,185618.49999999994,185618.49999999994,0.0
2015-05-22,,0.0,185618.49999999994,185618.49999999994,0.0
2015-05-25,,0.0,185618.49999999994,185618.49999999994,0.0
2015-05-26,,0.0,185618.49999999994,185618.49999999994,0.0
2015-05-27,,0.0,185618.49999999994,185618.49999999994,0.0
2015-05-28,,0.0,185618.49999999994,185618.49999999994,0.0
2015-05-29,,0.0,185618.49999999994,185618.49999999994,0.0
2015-06-01,,0.0,185618.49999999994,185618.49999999994,0.0
2015-06-02,,0.0,185618.49999999994,185618.49999999994,0.0
2015-06-03,,0.0,185618.49999999994,185618.49999999994,0.0
2015-06-04,,0.0,185618.49999999994,185618.49999999994,0.0
2015-06-05,,0.0,185618.49999999994,185618.49999999994,0.0
2015-06-08,,0.0,185618.49999999994,185618.49999999994,0.0
2015-06-09,,0.0,185618.49999999994,185618.49999999994,0.0
2015-06-10,,0.0,185618.49999999994,185618.49999999994,0.0
2015-06-11,,0.0,185618.49999999994,185618.49999999994,0.0
2015-06-12,,0.0,185618.49999999994,185618.49999999994,0.0
2015-06-15,,0.0,185618.49999999994,185618.49999999994,0.0
2015-06-16,,0.0,185618.49999999994,185618.49999999994,0.0
2015-06-17,,0.0,185618.49999999994,185618.49999999994,0.0
2015-06-18,,0.0,185618.49999999994,185618.49999999994,0.0
2015-06-19,,0.0,185618.49999999994,185618.49999999994,0.0
2015-06-22,,0.0,185618.49999999994,185618.49999999994,0.0
2015-06-23,,0.0,185618.49999999994,185618.49999999994,0.0
2015-06-24,,0.0,185618.49999999994,185618.49999999994,0.0
2015-06-25,,0.0,185618.49999999994,185618.49999999994,0.0
2015-06-26,,0.0,185618.49999999994,185618.49999999994,0.0
2015-06-29,,0.0,185618.49999999994,185618.49999999994,0.0
2015-06-30,,0.0,185618.49999999994,185618.49999999994,0.0
2015-07-01,28952.7,28952.7,98760.39999999992,127713.09999999992,-0.3119592066523543
2015-07-02,,0.0,98760.39999999992,98760.39999999992,-0.226701098007957
2015-07-03,,0.0,98760.39999999992,98760.39999999992,0.0
2015-07-06,,0.0,98760.39999999992,98760.39999999992,0.0
2015-07-07,,0.0,98760.39999999992,98760.39999999992,0.0
2015-07-08,,0.0,98760.39999999992,98760.39999999992,0.0
2015-07-09,,0.0,98760.39999999992,98760.39999999992,0.0
2015-07-10,,0.0,98760.39999999992,98760.39999999992,0.0
2015-07-13,,0.0,98760.39999999992,98760.39999999992,0.0
2015-07-14,,0.0,98760.39999999992,98760.39999999992,0.0
2015-07-15,,0.0,98760.39999999992,98760.39999999992,0.0
2015-07-16,,0.0,98760.39999999992,98760.39999999992,0.0
2015-07-17,,0.0,98760.39999999992,98760.39999999992,0.0
2015-07-20,,0.0,98760.39999999992,98760.39999999992,0.0
2015-07-21,,0.0,98760.39999999992,98760.39999999992,0.0
2015-07-22,,0.0,98760.39999999992,98760.39999999992,0.0
2015-07-23,,0.0,98760.39999999992,98760.39999999992,0.0
2015-07-24,,0.0,98760.39999999992,98760.39999999992,0.0
2015-07-27,-28981.5,-28981.5,156723.3999999999,127741.8999999999,0.2934526389119527
2015-07-28,,0.0,156723.3999999999,156723.3999999999,0.226875441808835
2015-07-29,,0.0,156723.3999999999,156723.3999999999,0.0
2015-07-30,,0.0,156723.3999999999,156723.3999999999,0.0
2015-07-31,,0.0,156723.3999999999,156723.3999999999,0.0
2015-08-03,,0.0,156723.3999999999,156723.3999999999,0.0
2015-08-04,,0.0,156723.3999999999,156723.3999999999,0.0
2015-08-05,,0.0,156723.3999999999,156723.3999999999,0.0
2015-08-06,,0.0,156723.3999999999,156723.3999999999,0.0
2015-08-07,,0.0,156723.3999999999,156723.3999999999,0.0
2015-08-10,,0.0,156723.3999999999,156723.3999999999,0.0
2015-08-11,,0.0,156723.3999999999,156723.3999999999,0.0
2015-08-12,57777.0,57777.0,70057.89999999992,127834.89999999992,-0.18432793060895825
2015-08-13,,0.0,70057.89999999992,70057.89999999992,-0.4519657777336239
2015-08-14,,0.0,70057.89999999992,70057.89999999992,0.0
2015-08-17,,0.0,70057.89999999992,70057.89999999992,0.0
2015-08-18,,0.0,70057.89999999992,70057.89999999992,0.0
2015-08-19,,0.0,70057.89999999992,70057.89999999992,0.0
2015-08-20,,0.0,70057.89999999992,70057.89999999992,0.0
2015-08-21,,0.0,70057.89999999992,70057.89999999992,0.0
2015-08-24,,0.0,70057.89999999992,70057.89999999992,0.0
2015-08-25,,0.0,70057.89999999992,70057.89999999992,0.0
2015-08-26,,0.0,70057.89999999992,70057.89999999992,0.0
2015-08-27,,0.0,70057.89999999992,70057.89999999992,0.0
2015-08-28,,0.0,70057.89999999992,70057.89999999992,0.0
2015-08-31,,0.0,70057.89999999992,70057.89999999992,0.0
2015-09-01,,0.0,70057.89999999992,70057.89999999992,0.0
2015-09-02,,0.0,70057.89999999992,70057.89999999992,0.0
2015-09-03,-57853.8,-57853.8,185765.49999999994,127911.69999999994,0.8257998027345965
2015-09-04,,0.0,185765.49999999994,185765.49999999994,0.45229482525836207
2015-09-07,,0.0,185765.49999999994,185765.49999999994,0.0
2015-09-08,,0.0,185765.49999999994,185765.49999999994,0.0
2015-09-09,,0.0,185765.49999999994,185765.49999999994,0.0
2015-09-10,,0.0,185765.49999999994,185765.49999999994,0.0
2015-09-11,,0.0,185765.49999999994,185765.49999999994,0.0
2015-09-14,,0.0,185765.49999999994,185765.49999999994,0.0
2015-09-15,,0.0,185765.49999999994,185765.49999999994,0.0
2015-09-16,,0.0,185765.49999999994,185765.49999999994,0.0
2015-09-17,,0.0,185765.49999999994,185765.49999999994,0.0
2015-09-18,,0.0,185765.49999999994,185765.49999999994,0.0
2015-09-21,,0.0,185765.49999999994,185765.49999999994,0.0
2015-09-22,,0.0,185765.49999999994,185765.49999999994,0.0
