Date,oprc,hprc,lprc,cprc,Settle,tvol,oint,padj,futc
11/04/2013,1.187218812,1.18897289,1.186731568,1.188583095,1.188583095,771.6872332,11438.82658,0.974488067,921692
12/04/2013,1.187900953,1.187900953,1.184295347,1.184685143,1.184685143,966.6614012,11438.82658,0.974488067,921692
15/04/2013,1.184782591,1.185951977,1.182346371,1.184197899,1.184197899,811.7082466,11665.61232,0.974488067,921692
16/04/2013,1.183028513,1.186146875,1.182833615,1.184003001,1.184003001,961.530502,11768.23031,0.974488067,921692
17/04/2013,1.184197899,1.185464733,1.182638718,1.183905552,1.183905552,779.8966719,11564.02052,0.974488067,921692
18/04/2013,1.184587694,1.186049426,1.183905552,1.185269836,1.185269836,493.5924989,11547.60164,0.974488067,921692
19/04/2013,1.186049426,1.187900953,1.185074938,1.187900953,1.187900953,677.2786887,11532.20895,0.974488067,921692
22/04/2013,1.187511158,1.189362685,1.186829016,1.189265237,1.189265237,454.5976653,11583.51794,0.974488067,921692
23/04/2013,1.189167788,1.198230527,1.187803505,1.195794307,1.195794307,1643.94009,11748.73289,0.974488067,921692
24/04/2013,1.197450936,1.202518274,1.194917267,1.201153991,1.201153991,2324.297318,12228.98505,0.974488067,921692
25/04/2013,1.201056542,1.203102967,1.196963692,1.199010117,1.199010117,1737.322455,12375.72877,0.974488067,921692
26/04/2013,1.19793818,1.199692259,1.193552984,1.196671346,1.196671346,1171.897367,12630.22137,0.974488067,921692
29/04/2013,1.197353488,1.199399912,1.195014716,1.195599409,1.195599409,737.8232988,12805.69812,0.974488067,921692
30/04/2013,1.195696858,1.195891755,1.191506559,1.191798906,1.191798906,1139.059613,12845.71913,0.974488067,921692
01/05/2013,1.192481047,1.194819819,1.188777993,1.191701457,1.191701457,824.0224046,12810.82902,0.974488067,921692
02/05/2013,1.19062952,1.194527472,1.188388197,1.189752481,1.189752481,1163.687929,12834.43115,0.974488067,921692
03/05/2013,1.190337173,1.195989204,1.189947378,1.195404511,1.195404511,896.8811727,12794.41014,0.974488067,921692
06/05/2013,1.195404511,1.197548385,1.194527472,1.195794307,1.195794307,440.2311477,12828.27407,0.974488067,921692
07/05/2013,1.195696858,1.202128479,1.194332575,1.198327976,1.198327976,1072.357924,12877.5307,0.974488067,921692
08/05/2013,1.198327976,1.203395314,1.198133078,1.199302464,1.199302464,973.84466,13004.777,0.974488067,921692
09/05/2013,1.198912668,1.209047344,1.196866244,1.203590211,1.203590211,2085.197417,12916.52554,0.974488067,921692
10/05/2013,1.205246841,1.214114682,1.204954494,1.210411628,1.210411628,3190.393096,12658.9544,0.974488067,921692
13/05/2013,1.211775911,1.212555501,1.207877959,1.211288667,1.211288667,1043.624889,12681.53036,0.974488067,921692
14/05/2013,1.211191218,1.218207532,1.207000919,1.217427942,1.217427942,1695.249081,12755.4153,0.974488067,921692
15/05/2013,1.21596621,1.220448855,1.210509076,1.211483565,1.211483565,3085.722753,13162.8087,0.974488067,921692
16/05/2013,1.211386116,1.216258556,1.206708573,1.209047344,1.209047344,2255.543269,13084.81903,0.974488067,921692
17/05/2013,1.211093769,1.217233044,1.210021832,1.216356005,1.216356005,1807.102683,12937.04913,0.974488067,921692
20/05/2013,1.214699375,1.215771312,1.211775911,1.214114682,1.214114682,580.8177846,13018.11734,0.974488067,921692
21/05/2013,1.214212131,1.220741201,1.213335092,1.219766713,1.219766713,1513.615251,12948.33711,0.974488067,921692
